Inflation rate,Unemployment rate,GDP growth rate,Crime rate,Healthcare access index,Education quality index,Infrastructure quality index,Population growth rate,Homelessness rate,Home ownership rate,Income inequality index,Immigration rate,Military strength index,Environmental sustainability index,Social cohesion index,Divorce rate,Average life expectancy,Median household income,Poverty rate,Education attainment level
3.89,0.03,-2.0,8.09,28.25,80.34,5.84,-0.51,0.5,0.81,39.34,2.59,79.78,75.04,30.68,7.36,60.71,23060.59,38.69,73.43
6.94,9.47,4.08,62.28,39.85,77.62,88.44,-1.06,0.72,0.71,35.59,5.35,21.07,50.02,97.89,1.33,62.01,29090.71,33.39,0.18
2.38,11.13,4.35,41.37,26.93,20.5,92.87,2.17,0.17,0.89,70.91,0.62,36.94,81.37,22.07,0.36,79.59,71116.26,9.54,63.37
1.62,6.68,5.2,46.49,94.19,14.03,83.17,-0.4,0.01,0.48,51.82,8.44,94.9,79.77,48.57,0.85,67.69,29039.44,18.94,70.37
3.94,4.06,7.42,81.81,72.56,82.19,89.89,-1.92,0.38,0.29,53.16,2.0,32.78,2.88,91.51,8.52,77.46,87748.2,20.53,64.96
9.44,12.75,5.61,79.85,77.1,31.13,41.43,0.24,0.18,0.49,1.0,4.28,77.86,64.26,82.8,5.17,83.61,44985.55,41.1,59.73
5.97,4.59,2.84,96.81,70.33,14.88,78.81,-0.17,0.96,0.11,56.87,8.26,95.73,45.55,60.81,1.46,70.52,84465.76,30.06,19.91
1.16,14.48,1.9,67.23,63.73,90.79,82.22,2.78,0.89,0.8,72.53,4.74,65.66,35.46,49.31,2.25,63.17,89043.39,38.75,54.38
8.69,11.93,-2.89,93.51,24.76,59.29,51.96,-1.24,0.51,0.55,54.68,3.46,75.1,90.55,6.85,4.69,89.61,57853.53,6.02,33.3
5.78,2.78,1.04,23.89,14.52,43.28,70.0,-0.28,0.22,0.93,47.15,3.64,17.71,63.7,99.15,1.37,76.61,20861.46,13.79,84.03
5.73,10.18,-4.33,41.49,18.16,65.19,74.24,-1.69,0.42,0.2,35.93,3.78,74.57,99.17,18.9,1.26,83.29,50983.59,6.93,29.45
2.03,6.18,7.55,55.47,79.37,98.07,71.05,0.66,0.76,0.52,74.52,4.37,94.51,72.2,7.16,4.07,71.27,16086.47,6.7,42.24
5.62,4.64,8.69,6.24,43.13,25.15,56.41,-1.05,0.47,0.19,96.65,5.61,37.59,30.94,99.54,8.23,61.92,35024.42,15.55,25.88
2.64,3.04,9.04,77.51,42.86,58.03,16.61,-0.18,0.96,0.44,6.45,3.18,29.2,99.23,97.81,9.94,81.41,97086.59,30.49,61.57
4.66,11.57,0.0,43.85,51.95,80.01,85.31,-0.97,0.57,0.15,37.04,4.99,45.96,61.8,88.46,2.34,64.92,90209.45,6.02,51.79
0.58,12.98,-3.35,55.23,22.54,69.43,85.3,0.77,0.92,0.77,20.95,1.03,30.13,7.13,95.47,8.56,81.98,66994.87,33.17,32.29
8.99,12.68,-3.78,98.26,3.69,87.97,71.08,0.9,0.83,0.67,49.35,4.61,41.9,58.36,1.74,1.77,67.51,45019.62,34.86,94.59
6.18,7.43,-1.18,7.6,71.18,30.76,77.51,0.73,0.33,0.48,64.6,8.93,89.47,67.86,86.68,7.73,64.86,57813.66,17.85,71.24
2.54,9.11,5.34,64.14,18.73,17.12,19.65,0.69,0.95,0.83,30.03,8.32,17.33,21.22,96.38,6.62,88.46,34384.31,3.13,2.65
8.05,7.65,8.14,69.87,24.29,72.42,14.44,1.6,0.09,0.38,36.57,7.16,51.54,67.93,27.21,8.38,78.6,23597.58,27.82,22.83
4.6,14.73,-0.57,62.25,72.45,23.4,35.67,1.03,0.26,0.19,54.75,6.43,44.33,63.64,21.33,5.5,60.76,30767.49,20.12,46.03
3.69,11.42,-3.25,1.23,73.49,35.78,32.59,1.8,0.23,0.48,30.32,6.53,2.02,8.34,34.66,9.72,66.88,57719.71,49.72,73.94
2.39,0.89,4.33,7.54,32.35,61.13,12.22,-0.24,0.3,0.14,78.91,1.43,67.5,66.72,20.75,2.95,77.11,18390.46,4.57,49.03
4.49,2.41,8.29,51.09,53.9,58.58,22.4,2.69,0.86,0.52,14.95,9.49,85.6,46.82,26.96,0.81,86.85,98581.43,49.38,58.43
6.82,5.55,-3.69,34.91,34.67,77.12,19.77,-1.93,0.45,0.3,18.84,2.09,3.53,4.49,34.92,0.13,70.18,84410.16,44.24,47.37
4.4,12.44,6.43,69.85,27.61,15.94,79.5,2.4,0.16,0.13,64.28,4.62,49.07,21.05,41.76,8.77,85.14,29281.53,34.6,80.64
6.99,8.15,5.95,47.8,86.76,75.28,60.98,-1.85,0.25,0.26,62.95,0.05,15.44,66.22,79.24,1.84,85.69,69499.66,16.33,6.31
5.81,13.29,0.39,29.02,19.65,44.33,97.65,0.07,0.65,0.91,6.48,6.39,66.68,73.18,30.93,0.69,89.79,88511.51,41.55,2.3
0.61,3.27,3.31,86.92,96.46,97.84,89.73,-1.43,0.69,0.01,88.59,8.59,78.19,91.45,8.89,9.37,77.98,78475.09,40.17,78.36
2.45,5.08,-1.89,75.08,66.39,68.34,7.27,-0.5,0.94,0.74,24.3,1.71,14.52,48.56,44.55,7.01,84.72,25590.61,4.26,39.19
9.65,5.91,4.16,33.06,32.56,95.37,54.74,-0.89,0.13,0.81,85.51,9.53,93.56,38.56,46.22,0.28,88.71,59151.08,30.58,79.62
1.44,5.78,9.3,28.56,97.72,28.59,68.74,2.36,0.64,0.88,56.07,8.66,19.23,72.45,34.56,2.73,76.68,41404.93,38.96,49.09
7.86,13.89,5.36,47.88,46.71,83.66,93.8,-0.05,0.39,1.0,93.72,0.81,90.9,74.15,6.11,1.89,67.56,31861.64,11.6,49.23
8.18,10.63,2.53,55.76,26.7,44.11,21.56,0.13,0.14,0.42,2.28,2.31,60.49,92.75,92.52,5.9,69.34,41028.13,27.4,90.3
9.64,11.82,9.49,35.37,18.8,14.51,10.2,-1.5,0.73,0.7,2.22,2.81,37.66,14.41,95.08,1.06,89.5,96747.66,15.29,4.37
4.11,14.5,1.85,53.15,84.65,42.54,26.69,1.47,0.22,0.2,18.54,4.72,31.66,63.44,86.88,5.13,69.74,78168.12,41.32,9.04
9.54,11.29,9.47,19.64,9.93,24.89,24.38,-0.3,0.97,0.22,16.55,2.73,90.09,23.69,43.28,6.11,83.4,56370.17,23.88,47.62
3.41,8.99,-4.51,32.12,34.7,42.54,73.58,-0.07,0.09,0.44,78.83,3.74,42.74,49.37,61.7,5.92,64.97,78926.08,16.93,54.51
6.28,8.38,-2.63,62.83,71.53,15.25,85.15,-0.71,0.55,0.01,49.99,5.89,88.8,80.61,92.23,5.54,77.71,61584.29,36.59,88.43
4.51,13.23,6.96,74.17,29.69,69.7,30.81,0.21,0.59,0.62,98.84,5.08,3.21,97.79,26.88,1.99,62.59,25451.15,34.7,26.95
2.73,10.48,3.53,57.13,27.59,43.28,22.72,0.2,0.18,0.81,0.18,6.93,76.76,6.38,54.73,2.99,72.95,10103.33,17.63,31.96
0.85,0.16,8.76,64.35,94.12,17.5,70.29,-0.87,0.9,0.38,56.16,0.47,90.46,46.73,51.06,2.65,81.29,12255.0,9.47,9.08
0.34,14.71,9.19,54.18,53.09,54.59,94.76,-0.1,0.9,0.4,68.34,3.24,49.93,78.2,6.61,5.11,85.52,21110.58,38.6,37.37
0.72,8.07,1.69,30.73,25.74,60.68,64.35,1.58,1.0,0.67,36.93,4.29,2.25,12.16,53.21,6.9,81.95,32707.35,10.75,24.04
3.87,6.07,-3.14,61.38,40.93,3.95,79.93,-0.71,0.94,0.72,0.09,3.85,0.59,56.74,9.98,7.18,85.78,88729.82,0.09,58.76
0.34,7.17,3.3,10.26,50.4,49.08,84.05,2.52,0.02,0.81,61.62,1.76,4.85,71.24,95.06,8.21,63.09,34062.9,6.11,78.31
8.56,5.08,-2.12,8.49,97.65,13.73,33.67,2.32,0.06,0.86,41.66,1.22,46.11,80.19,70.59,6.96,61.85,90922.98,29.14,44.83
5.33,5.31,7.26,26.35,14.77,54.73,92.77,1.92,0.32,0.24,95.17,6.97,7.61,78.23,74.99,2.85,88.14,83868.85,40.9,33.13
0.87,2.25,2.26,33.41,9.78,60.68,71.12,2.1,0.61,0.33,92.06,0.29,86.36,17.72,11.91,2.91,66.58,80839.55,3.25,4.64
2.62,0.27,4.82,48.58,58.19,18.56,50.06,0.98,0.89,0.21,77.23,6.53,14.52,97.62,96.27,2.09,86.51,17134.44,19.34,39.06
7.08,12.61,-0.59,8.82,97.26,30.22,84.41,2.21,0.68,0.95,7.82,5.42,10.76,73.24,60.3,0.49,85.99,94890.02,15.02,34.81
5.83,5.93,-2.49,10.97,55.11,73.7,96.43,-1.26,0.85,0.6,83.22,8.34,67.57,55.9,38.66,9.05,80.39,29841.73,13.59,12.84
7.64,1.19,-0.78,70.64,12.38,96.76,37.82,2.81,0.59,0.41,6.29,5.34,48.11,19.23,35.18,9.62,73.28,34407.48,26.04,40.8
8.57,7.51,-3.87,97.85,23.02,59.89,20.19,2.55,0.69,0.75,17.69,4.76,54.83,50.98,76.1,7.88,89.65,71734.95,21.0,58.93
9.03,3.66,3.9,4.09,55.05,56.97,19.74,2.5,0.17,0.81,91.62,6.19,10.36,9.52,83.41,2.69,73.16,48873.47,41.2,18.09
3.74,4.14,-0.32,38.28,85.8,45.01,23.62,-0.26,0.06,0.32,17.01,4.59,84.55,99.18,40.15,6.36,73.16,40964.72,43.33,32.25
1.79,9.16,8.69,62.85,89.0,52.09,41.46,-1.52,0.75,0.6,71.77,4.27,86.89,87.96,41.95,0.01,78.53,40107.03,29.92,43.04
6.0,3.65,0.2,64.24,77.23,46.15,17.15,-0.87,0.27,0.75,26.81,0.82,39.98,0.65,62.09,8.08,80.01,12373.1,35.63,56.88
4.9,11.88,8.5,36.11,63.42,79.61,22.65,-1.61,0.18,0.66,83.87,4.89,66.7,98.26,41.74,2.21,88.56,32247.35,23.43,0.03
7.42,12.58,9.42,94.0,61.89,12.06,62.74,1.29,0.84,0.25,94.51,8.29,52.95,74.38,58.91,3.98,71.87,96309.65,29.45,89.33
5.69,7.73,8.19,35.87,20.38,50.78,80.98,-1.08,0.16,0.56,98.63,6.11,61.58,40.24,47.68,4.96,79.22,34824.36,16.34,96.75
0.49,13.15,3.71,49.07,55.82,35.09,76.65,-0.92,0.17,0.07,4.48,9.72,74.15,99.63,79.88,1.35,69.57,93865.16,38.24,61.47
7.03,12.22,-3.84,14.67,52.66,74.37,49.66,-0.23,0.71,0.44,47.16,7.68,8.35,18.58,16.06,0.09,80.96,12850.37,15.08,93.84
6.62,9.69,8.76,82.58,89.84,2.55,22.0,0.85,0.06,0.7,28.77,9.02,6.23,66.44,5.91,7.81,77.77,84709.79,26.91,49.32
5.16,4.05,1.2,58.34,59.12,21.44,41.25,-0.52,0.24,0.81,94.86,7.48,16.89,34.89,77.38,3.08,81.31,68217.34,25.64,51.3
7.74,12.21,0.75,85.9,72.46,43.48,38.95,1.34,0.15,0.13,69.1,8.08,29.02,13.16,41.08,9.19,67.45,13926.74,9.2,26.69
9.3,10.12,0.03,3.37,75.65,28.0,56.34,2.57,0.08,0.06,76.53,4.48,33.69,14.85,37.19,8.01,66.62,24085.51,17.5,20.73
5.39,7.05,-0.89,9.32,51.52,83.95,18.93,1.66,0.97,0.46,99.51,4.28,22.11,80.97,2.57,8.32,87.78,38319.56,25.81,15.89
6.34,3.86,-1.53,54.34,27.26,57.92,87.69,1.62,0.23,0.93,33.56,8.92,79.73,52.91,54.19,3.6,72.2,89265.44,40.71,44.3
6.89,3.64,-3.76,78.79,3.54,0.54,72.02,0.14,0.75,0.65,78.24,2.56,32.19,72.76,50.41,3.94,64.88,81541.36,41.24,51.91
6.83,12.52,-4.05,37.77,60.35,38.77,81.37,0.11,0.06,0.73,4.48,1.09,94.36,78.53,13.48,5.96,72.46,38463.72,38.01,4.9
8.13,6.06,4.49,14.46,14.28,77.23,29.16,0.71,0.91,0.2,40.21,5.12,44.46,57.95,64.35,0.0,69.39,29575.01,24.84,31.67
2.67,5.88,4.98,40.98,6.38,55.9,82.81,-1.47,0.84,0.3,74.3,6.61,75.61,76.68,15.28,3.62,71.99,76570.11,16.19,29.25
0.03,13.2,0.84,68.24,66.51,65.23,55.77,0.71,0.33,0.29,75.13,4.84,60.79,36.8,0.45,9.67,87.36,99559.03,30.53,56.28
7.06,9.72,6.71,35.37,32.8,12.09,62.4,0.93,0.39,0.35,33.2,9.96,84.51,60.04,58.88,7.3,78.74,21679.27,23.47,25.1
1.23,10.79,-2.22,15.95,69.68,79.32,18.92,1.63,0.67,0.47,11.93,6.51,13.57,85.43,71.08,2.24,74.69,49748.61,49.81,49.56
2.55,12.97,-3.07,38.17,0.3,88.84,95.65,0.5,0.57,0.85,49.65,3.93,65.19,80.68,25.56,4.3,67.27,48021.2,6.13,43.21
5.76,7.18,1.58,57.6,17.01,37.29,39.77,-1.45,0.64,0.54,8.7,4.3,99.5,4.61,50.24,8.73,67.56,14093.39,10.38,46.5
5.78,7.67,-3.85,62.05,30.37,95.44,95.29,-0.67,0.53,0.45,64.84,4.96,58.79,15.89,27.59,5.29,63.68,70292.82,14.92,42.26
7.98,6.1,-3.08,23.03,67.74,5.88,8.27,0.96,0.07,0.01,86.24,8.69,21.06,36.45,5.12,7.28,71.11,62031.87,13.59,15.1
6.4,11.7,-3.44,38.24,50.48,70.55,59.18,0.04,1.0,0.43,86.63,0.64,15.16,77.79,64.76,8.64,88.29,30945.79,49.13,51.14
7.81,7.95,3.77,39.9,57.88,34.07,20.94,-0.54,0.6,0.61,7.01,5.21,67.79,10.38,71.99,1.41,86.21,14123.84,14.87,59.81
3.71,7.02,5.25,45.83,6.5,90.85,73.32,-0.85,0.16,0.68,65.47,3.31,60.83,68.22,89.33,8.27,75.29,32450.42,19.42,77.05
2.87,6.42,4.86,65.54,53.05,59.36,89.02,-0.48,0.22,0.51,14.98,5.45,80.27,35.91,31.34,6.34,65.51,82917.21,26.59,72.14
1.58,6.35,0.81,90.37,64.44,83.11,40.22,1.95,0.16,0.9,39.68,4.49,92.8,16.76,35.83,3.51,75.41,92164.6,3.65,9.59
3.0,6.77,2.91,45.43,88.21,24.22,10.28,-0.26,0.47,0.44,60.88,5.02,95.02,3.67,99.52,5.95,78.3,97607.52,44.76,18.35
5.46,3.02,-1.7,23.74,21.81,20.55,94.62,2.3,0.68,0.86,42.87,6.49,80.81,43.29,35.37,8.21,60.14,68959.6,41.22,79.54
0.03,5.82,4.93,71.86,69.84,54.63,52.7,-1.07,0.93,0.47,3.04,2.28,75.72,71.22,22.46,7.3,76.16,73144.95,32.14,71.0
9.68,12.71,-2.68,62.83,1.08,72.88,30.61,-1.28,0.59,0.27,29.38,6.33,10.93,2.68,60.5,7.77,73.32,30409.35,49.16,53.76
0.82,13.72,7.41,65.31,96.96,10.84,21.97,0.47,0.27,0.54,74.94,2.44,62.45,34.85,19.35,4.67,79.72,55620.89,22.19,49.92
9.06,5.91,4.52,42.95,52.43,68.16,66.88,0.44,0.91,0.37,30.6,3.18,53.35,5.38,79.94,9.6,80.75,83225.83,0.68,91.63
4.08,5.3,3.89,41.63,71.98,46.45,14.8,-0.7,0.8,0.44,31.34,9.42,41.74,81.73,61.07,5.27,76.55,30956.4,9.75,77.97
3.25,0.77,7.92,22.93,76.43,16.35,35.39,-0.5,0.27,0.38,29.68,6.16,60.42,81.62,57.38,1.03,70.18,71055.32,7.38,34.86
3.6,6.91,3.63,14.01,63.42,40.14,78.69,-1.95,0.6,0.71,56.8,1.77,16.46,92.73,54.81,0.7,60.02,75974.66,11.48,27.55
1.11,1.54,0.76,14.29,47.3,12.4,65.74,-0.21,0.73,0.31,56.1,0.54,59.98,15.28,73.72,8.54,77.7,45569.05,17.25,9.75
9.05,6.71,0.21,36.31,43.64,52.83,52.61,1.85,0.58,0.45,4.47,6.41,30.1,19.3,7.63,9.56,64.52,73822.65,10.06,59.34
4.92,13.64,-2.7,42.2,16.49,16.84,91.75,-1.55,0.45,0.51,72.65,1.33,97.08,90.08,47.62,5.78,82.07,54834.55,21.91,46.92
3.54,7.36,5.05,94.61,3.39,23.24,3.65,-0.44,0.69,0.84,10.99,7.6,13.0,55.03,6.72,6.37,82.48,26936.85,3.23,64.61
0.29,9.45,7.71,26.75,45.52,31.04,72.13,-1.36,0.3,0.86,37.57,4.38,79.21,9.1,72.37,8.13,69.92,91392.42,19.53,12.41
4.47,0.87,-3.61,28.99,81.56,86.8,94.94,0.45,0.8,0.96,48.54,5.44,53.13,70.44,39.83,7.53,72.06,86056.36,23.85,81.05
8.88,8.62,7.15,63.91,0.27,31.55,34.17,2.55,0.29,0.31,36.03,4.61,99.38,46.77,74.47,4.25,74.59,99423.06,22.6,36.51
6.07,14.27,6.5,41.74,2.83,80.0,95.36,-0.23,0.57,0.27,91.77,4.86,29.5,33.57,69.0,3.24,71.96,95708.82,24.58,39.19
8.54,3.68,2.36,90.4,43.14,47.89,19.88,-1.54,0.47,0.82,99.02,2.43,41.68,66.64,77.14,0.95,72.29,11502.42,43.43,83.86
5.35,12.91,-2.9,23.96,33.49,43.35,94.9,2.19,0.68,0.02,41.81,0.98,75.55,46.98,69.0,1.36,71.43,13973.15,29.1,29.89
4.61,6.39,-1.69,52.41,49.0,53.39,65.11,0.14,0.71,0.23,56.57,7.02,82.5,49.8,10.7,3.26,60.12,86685.78,34.15,56.25
4.66,12.76,-0.1,17.9,8.68,22.29,74.75,1.29,0.42,0.5,57.89,4.97,98.51,31.95,11.2,7.12,77.43,95237.68,48.42,20.62
1.98,12.77,-1.55,5.71,90.53,12.6,10.75,-0.88,0.37,0.21,80.06,1.13,41.69,79.94,72.02,2.75,78.35,46900.67,12.28,81.66
0.97,9.33,9.21,59.96,90.82,60.3,58.72,0.56,0.48,0.85,52.78,1.24,21.83,92.08,61.53,5.15,66.97,76005.11,37.22,34.92
7.59,0.47,2.57,24.95,56.37,36.51,47.35,-0.7,0.54,0.64,96.75,1.37,61.14,12.65,5.77,1.59,64.92,97356.89,41.58,73.79
5.16,12.73,5.61,89.55,31.28,11.74,86.41,2.38,0.92,0.55,99.0,9.31,93.88,99.46,94.86,7.71,68.13,24222.11,21.61,82.45
6.8,5.65,4.6,13.66,23.89,6.83,58.33,2.45,0.97,0.01,87.69,9.12,31.26,85.77,56.31,4.34,76.47,16030.37,1.3,23.95
9.42,4.24,-3.93,41.8,88.45,79.56,30.39,-1.36,0.36,0.36,85.66,5.65,67.39,9.41,23.52,8.9,66.46,91036.7,6.68,25.95
1.27,11.25,-2.72,72.46,23.89,56.38,80.14,2.52,0.81,0.6,26.64,2.22,86.94,65.17,6.98,0.49,68.92,93096.64,22.82,21.46
4.53,4.58,-0.41,65.99,84.31,55.01,90.46,0.85,0.08,0.05,86.07,9.57,96.81,85.83,27.02,4.46,88.79,64844.5,13.87,65.94
2.42,12.62,5.3,99.0,39.73,12.31,72.48,-1.31,0.03,0.39,6.05,2.48,50.6,77.61,10.86,3.1,72.18,99930.64,19.33,64.63
4.17,7.22,7.18,61.18,0.64,75.59,60.63,1.87,0.37,0.48,3.39,0.38,86.54,97.02,55.34,9.78,73.08,50631.03,9.13,96.43
0.1,4.44,1.01,57.44,79.19,91.77,76.97,0.94,0.26,0.33,35.18,5.09,25.06,8.08,64.54,6.54,61.03,13985.26,22.52,30.42
4.47,10.61,0.35,34.13,58.29,18.97,41.0,1.77,0.54,0.12,53.54,3.22,87.44,59.03,7.03,3.12,68.27,66443.48,33.84,69.19
6.52,6.3,7.85,39.69,79.65,4.77,28.62,0.72,0.92,0.03,23.48,7.88,53.63,49.79,26.58,2.19,87.07,73215.06,18.54,13.5
6.55,10.33,3.45,42.24,79.32,80.4,60.86,2.39,0.49,0.45,21.57,6.7,79.51,55.47,40.68,1.94,83.44,21026.26,39.72,64.43
6.94,3.67,0.05,31.48,94.9,3.36,40.04,1.17,0.99,0.65,58.16,2.4,70.31,47.98,61.8,9.28,63.33,67907.37,0.49,57.28
5.17,12.5,-3.0,40.92,63.75,65.78,93.68,2.2,0.26,0.96,27.53,4.49,76.37,6.32,42.24,9.31,69.46,47538.87,6.11,5.54
7.86,1.53,-3.48,16.36,89.37,86.4,61.09,0.88,0.12,0.02,26.3,1.41,39.72,29.04,38.34,8.93,83.82,61065.63,27.55,35.03
7.28,11.58,3.99,91.8,81.76,63.25,25.39,2.75,0.9,0.84,75.98,6.06,83.41,97.3,38.15,3.87,88.45,79488.04,32.94,33.16
9.12,12.21,9.07,78.83,10.46,65.9,65.18,-1.69,0.62,0.18,1.43,8.35,29.0,2.96,71.76,3.48,64.28,67805.53,39.13,17.52
6.78,5.53,2.83,85.72,59.54,74.08,8.71,-1.13,0.36,0.98,17.02,1.84,93.06,68.54,87.07,9.95,70.79,97780.5,48.24,57.46
6.58,3.94,5.71,33.69,75.77,69.64,57.23,2.93,0.96,0.28,87.86,1.92,62.98,94.13,32.15,2.7,63.7,84079.12,46.51,11.05
4.25,4.62,-2.16,52.97,56.11,74.74,89.84,0.63,0.18,0.28,43.27,7.54,73.25,33.58,68.47,2.26,67.24,71464.67,47.29,61.56
9.24,1.27,-2.91,92.85,44.29,22.6,66.82,-1.09,0.14,0.82,62.82,8.97,93.71,86.15,22.52,0.12,71.64,67156.28,11.06,80.92
1.06,9.38,-0.78,71.99,52.07,65.06,62.53,-1.85,0.44,0.19,94.06,3.94,71.01,91.35,77.11,7.73,68.14,14940.38,20.16,47.2
2.13,12.64,4.4,89.56,3.6,75.92,70.93,1.44,0.66,0.14,64.55,9.33,50.35,34.89,97.15,8.3,80.14,11273.83,28.72,1.39
3.88,14.33,9.56,81.45,68.44,0.89,77.38,1.57,0.4,0.98,11.74,9.39,14.94,53.27,40.92,2.09,76.73,55081.25,14.56,88.74
7.18,2.44,0.15,29.84,32.48,22.0,91.13,0.02,0.59,0.09,79.48,3.78,2.47,67.93,40.4,0.95,67.93,97414.84,9.26,84.25
9.79,1.86,4.86,75.01,96.37,21.89,39.76,0.15,0.69,0.87,53.84,8.77,88.77,32.73,67.4,6.74,72.5,19378.52,40.35,62.21
8.25,11.64,-4.61,67.49,86.43,10.59,80.96,-0.12,0.71,0.5,40.07,1.08,79.71,91.14,66.75,6.98,61.36,95884.45,14.51,93.54
1.64,1.01,3.97,55.33,63.72,27.52,27.65,2.68,0.14,0.8,73.15,9.95,19.47,43.4,7.65,8.62,61.36,35732.47,40.09,83.57
7.27,8.4,3.31,15.44,94.29,51.76,29.55,-0.31,0.95,0.86,51.91,7.75,81.31,18.33,9.27,6.65,61.65,65872.24,28.81,20.45
1.32,1.67,-3.9,74.24,22.78,65.34,95.27,2.5,0.84,0.29,30.72,9.48,41.01,75.18,51.27,0.3,66.1,35520.26,49.1,88.52
9.36,13.8,-1.02,89.15,50.93,47.74,7.06,2.38,0.5,0.6,1.53,8.46,62.14,24.28,21.43,8.57,70.14,94486.36,9.5,20.01
7.82,4.78,4.49,10.34,79.01,80.8,26.76,2.65,0.44,0.31,18.06,2.21,98.7,58.52,41.5,0.25,73.89,35536.54,8.97,94.09
6.0,3.8,8.16,39.37,46.62,32.26,68.55,0.34,0.81,0.75,26.54,8.22,0.82,34.09,56.32,1.7,88.29,86774.88,33.3,99.17
9.87,2.14,5.88,35.62,81.92,24.0,53.0,-0.58,0.85,0.36,49.46,8.6,9.92,80.84,29.47,6.33,80.6,20283.77,41.52,56.81
9.95,12.82,-3.36,78.82,40.46,86.18,29.37,-0.73,0.97,0.46,29.07,9.56,41.14,2.87,98.77,8.33,65.04,59532.58,38.43,73.73
0.42,0.45,6.7,70.61,68.42,3.72,36.2,-1.42,0.38,0.88,73.04,4.77,77.28,47.18,84.53,4.06,74.63,36153.94,3.96,87.25
5.4,1.39,6.08,3.07,51.73,75.47,98.11,-1.47,0.78,0.67,33.57,3.55,75.68,84.43,89.78,9.34,77.92,21104.63,20.65,70.29
1.49,6.29,0.76,8.13,39.98,60.64,32.34,1.21,0.51,0.09,91.6,7.7,27.11,76.29,83.56,5.47,70.96,94341.3,3.86,82.96
4.45,1.58,6.16,93.24,12.58,43.28,5.56,1.22,0.73,0.81,20.08,5.51,45.85,79.67,55.23,5.72,66.46,80105.75,15.48,4.99
0.83,1.98,9.28,95.36,31.43,90.71,40.7,-1.84,0.74,0.87,47.79,2.15,53.46,88.16,89.52,4.83,79.82,46155.8,4.52,73.49
5.65,12.82,6.53,93.35,70.65,7.42,29.0,0.04,0.91,0.03,18.49,9.92,74.99,51.68,43.13,1.28,78.68,25178.63,29.93,8.41
6.14,0.63,7.62,39.54,69.76,38.67,43.28,-0.87,0.19,0.92,49.3,5.88,44.89,71.89,21.43,0.53,67.5,36592.61,29.21,19.38
6.85,2.77,2.07,0.46,88.86,1.14,32.61,1.46,0.39,0.47,82.86,3.76,70.53,10.33,66.35,6.71,70.09,17341.57,15.92,20.97
0.47,8.59,-3.82,25.05,89.37,33.59,21.1,1.42,0.38,0.8,3.23,5.77,47.65,30.19,63.95,2.88,74.27,81145.58,13.12,96.62
