index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
2961,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,(2) Explain the meaning of negative absolute temperature; does it violate the third law of thermodynamics? Why?,"(2) According to the Gibbs distribution, the ratio of the number of particles occupying energy levels \(E_{n}\) and \(E_{m}\) at equilibrium is

\[
\frac{N_{n}}{N_{m}} = \mathrm{e}^{-\left(E_{n} - E_{m}\right) / kT}
\]

When the temperature of the system \(T > 0\), there are fewer particles at higher energy levels. If an inversion of the number of particles is achieved such that there are more particles at higher energy levels than at lower ones, then the system has negative temperature. The existence of negative temperature systems does not violate the third law of thermodynamics because, from an energy standpoint, negative temperature systems are further from absolute zero than positive non-zero temperature systems.",\boxed{No},TF,,False,EN,Laws Application
2963,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"The energy density of blackbody radiation in a three-dimensional universe depends on temperature in the form of $T^{\alpha}$, where $\alpha=4$. Derive the form of $\alpha$ in an $n$-dimensional universe.","The average energy of photons

$$
E=2 \iint \frac{\mathrm{d}^{n} \boldsymbol{p}^{n} \boldsymbol{q}}{h^{n}} \frac{\hbar \omega}{\mathrm{e}^{\hbar \omega / k T}-1}=\frac{2 V}{h^{n}} \int \mathrm{d}^{n} p \frac{\hbar \omega}{\mathrm{e}^{\hbar \omega / k T}-1}
$$

Since the momentum of a photon $p=\hbar \omega / c$, therefore

$$
E / V=2\left(\frac{k}{h c}\right)^{n} k \int \mathrm{d}^{n} \boldsymbol{x} \frac{x}{\mathrm{e}^{x}-1} \cdot T^{n+1}, \quad x=\hbar \omega / k T
$$

Thus,

$$
\alpha=n+1
$$",\boxed{n+1},EX,,False,EN,Math Derivation
2967,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"If the particles of a Fermi gas have an energy level $\varepsilon$ with a degeneracy $g=2$, find the average number of particles in the gas.","The average number of particles in a Fermi gas is

\[
\bar{N} = \lambda \frac{\partial \ln E}{\partial \lambda} = 2 \lambda \left[1 + \lambda \exp\left(-\frac{\varepsilon}{k T}\right)\right]^{-1} \exp\left(-\frac{\varepsilon}{k T}\right)
= \frac{2}{\exp\left[(\varepsilon - \mu) / k T\right] + 1} \tag{2}
\]

where $\lambda = \exp (\mu / k T) = \exp (-\alpha)$ is the fugacity of the gas, $\mu$ is the chemical potential of the gas, and $k$ is the Boltzmann constant.",\boxed{\frac{2}{\exp\left[(\varepsilon - \mu) / k T\right] + 1}},EX,,False,EN,Laws Application
2968,Mechanics and Thermodynamics,Statistical Mechanics,Distribution Function and Statistical Entropy,"Using the results and conditions obtained in the previous section, where $n \ll N$, find the expression for the most probable number of atoms $n$ on the surface of the crystal.","In the expression, $\beta = 1 / kT$. By taking $N_2 = n$, we have $N_1 = N - n$. Since $n \ll N$, it follows that $N_1 \approx N$. Thus, from equations (2) and (3), we can derive that the most probable number of atoms on the surface of the crystal is

\begin{equation*}
n = N \exp \left(-\frac{w}{kT}\right) \tag{4}
\end{equation*}",\boxed{n = N \exp \left(-\frac{w}{kT}\right)},EQ,,False,EN,Math Derivation
2972,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"In a rectangular conductor cavity, for a photon mode with frequency $\omega$, find the root mean square value of the photon number fluctuations. Is it always larger than the average photon number?","Consider the photon number fluctuations $\overline{(\Delta n)^{2}} = -\frac{\partial}{\partial \lambda} \bar{n} = \frac{e^{\lambda}}{\left(e^{\lambda} - 1\right)^{2}}$, whose root mean square value is

$$
\sqrt{\overline{(\Delta n)^{2}}} = \frac{e^{\lambda / 2}}{e^{\lambda} - 1} = \bar{n} e^{\lambda / 2}
$$

The root mean square value of the photon number fluctuations is always larger than the average value.",\boxed{Yes},TF,,False,EN,Laws Application
2975,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A zipper has \(N\) links, and it can only be opened from one end, meaning that only after the first \(s-1\) links are successively opened can the \(s\)-th link be opened. Each link has zero energy when closed and energy \(\varepsilon\) when opened. This is a simple model representing two non-intertwined DNA strands. Determine the partition function of the zipper.","The zipper has \(N\) links, each with zero energy when closed, and energy \(\varepsilon\) when opened. If the number of opened links is \(s\), then the energy of the zipper is \(E=s\varepsilon\).

The partition function of the zipper is given by
\[
Z=\sum_{s=0}^{N} \exp \left(-\frac{s \varepsilon}{kT}\right)=\frac{1-\exp [-(N+1) \varepsilon / kT]}{1-\exp (-\varepsilon / kT)} \tag{1}
\]",\boxed{\frac{1-\exp [-(N+1) \varepsilon / kT]}{1-\exp (-\varepsilon / kT)}},EX,,False,EN,Laws Application
2977,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"Consider \( N \) fixed-position, non-interacting magnetic dipoles \(\mu_{0}\) in a uniform external field \( B \) reaching thermal equilibrium at temperature \( T \). Each magnetic dipole can be oriented parallel or antiparallel to \( B \). Calculate the heat capacity of the system.","The average energy of the system is  
$$
\bar{E} = -N \mu_{0} B \frac{\mathrm{e}^{\mu_{0} B / k T} - \mathrm{e}^{-\mu_{0} B / k T}}{\mathrm{e}^{\mu_{0} B / k T} + \mathrm{e}^{-\mu_{0} B / k T}} = -N \mu_{0} B \tanh \left(\frac{\mu_{0} B}{k T}\right)
$$

The heat capacity is  
$$
c = \frac{\mathrm{d} \bar{E}}{\mathrm{~d} T} = N k \left(\frac{\mu_{0} B}{k T}\right)^{2} \frac{1}{\cosh^{2}\left(\frac{\mu_{0} B}{k T}\right)}
$$",\boxed{N k \left( \frac{\mu_{0} B}{k T} \right)^2 \frac{1}{\cosh^2\left( \frac{\mu_{0} B}{k T} \right)}},EX,,False,EN,Math Derivation
2978,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system consists of two atoms, each having three quantum states with energies $0, \varepsilon$, and $2 \varepsilon$. The system is in contact with a large heat reservoir at temperature $T$. Please write down the partition function $Z$ of the system when it obeys Bose-Einstein statistics.",$Z = 1 + \mathrm{e}^{-\beta \varepsilon} + 2 \mathrm{e}^{-2 \beta \varepsilon} + \mathrm{e}^{-3 \beta \varepsilon} + \mathrm{e}^{-4 \beta \varepsilon}$,\boxed{1 + \mathrm{e}^{-\beta \varepsilon} + 2 \mathrm{e}^{-2 \beta \varepsilon} + \mathrm{e}^{-3 \beta \varepsilon} + \mathrm{e}^{-4 \beta \varepsilon}},EX,,False,EN,Knowledge Recall
2981,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"In a lattice, there are $N$ nearly independent ions, each with spin $1/2$ and magnetic moment $\mu_{0}$. The system is in a uniform external field $B$ at temperature $T$. Calculate the entropy $\sigma$.","The entropy is given by
$$
\sigma=k\left(\ln z-\beta \frac{\partial}{\partial \beta} \ln z\right)=N k\left[\ln \left(e^{\alpha}+e^{-\alpha}\right)-\alpha \tanh \alpha\right],
$$
where $\alpha$ is related to the external field and temperature, and $k$ is the Boltzmann constant.",\boxed{N k\left[\ln \left(e^{\alpha}+e^{-\alpha}\right)-\alpha \tanh \alpha\right]},EX,,False,EN,Math Derivation
2984,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"Calculate and analyze

\begin{equation*}
\sum_{N} \sum_{s} \rho_{N_s} \ln \rho_{N_s} 
\end{equation*}

and show that the result is

\begin{equation*}
-(\ln \Xi + \alpha \bar{N} + \beta \bar{E})
\end{equation*}","According to the expression for $\ln \rho_{N_s}$, we have

\begin{align*}
\sum_{N} \sum_{s} \rho_{N_s} \ln \rho_{N_s} & = -\sum_{N} \sum_{s} \rho_{N_s}(\ln \Xi + \alpha N + \beta E_s) \tag{3} \\
& = -(\ln \Xi + \alpha \bar{N} + \beta \bar{E})
\end{align*}",\boxed{-\left(\ln \Xi + \alpha \bar{N} + \beta \bar{E}\right)},EX,,False,EN,Math Derivation
2986,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,What is the average number of photons in a photon mode with frequency $\omega$ inside a rectangular conductor cavity?,"Consider a photon mode (or state) with frequency $\omega$, which can be occupied by $0, 1, 2, \cdots$ photons. Let $\lambda = \frac{\hbar \omega}{kT}$, then the average number of photons is given by

$$
\bar{n} = \frac{\sum_{n=0}^{\infty} n e^{-n \lambda}}{\sum_{n=0}^{\infty} e^{-n \lambda}} = -\frac{1}{z} \frac{\partial z}{\partial \lambda}
$$

where the partition function

$$
z = \sum_{n=0}^{\infty} e^{-n \lambda} = \frac{1}{1-e^{-\lambda}}
$$

Therefore,

$$
\bar{n} = \frac{1}{e^{\lambda} - 1}
$$",\boxed{\frac{1}{e^{\lambda} - 1}},EX,,False,EN,Math Derivation
2987,Mechanics and Thermodynamics,Statistical Mechanics,Maxwell-Boltzmann Statistics,"In a classical ideal gas, let the number of molecules with a speed less than the most probable speed \( v_{\mathrm{p}} \) be \( N_{\mathrm{p}} \), and the total number of gas molecules be \( N \). Find the ratio \( r \equiv \frac{N_{\mathrm{p}}}{N} \).","Using the known formula,

\[
r = -\frac{2}{\sqrt{\pi}} e^{-1} + \operatorname{erf}(1)
\]

where \( e = 2.718 \), and \( \operatorname{erf}(1) = 0.8427 \). Therefore, the computation yields

\[
r = 0.4276
\]

This implies that approximately 43% of the molecules have a speed less than the most probable speed, regardless of the temperature.",\boxed{0.4276},NV,,False,EN,Practical Application
2991,Mechanics and Thermodynamics,Statistical Mechanics,Distribution Function and Statistical Entropy,"Consider an ideal lattice model, with $N$ lattice sites and an equal number of vacancy positions (i.e., positions between lattice sites where atoms can also occupy). $E$ is the energy required to move an atom from a lattice site to a vacancy position. Let $n$ denote the number of atoms occupying the vacancy positions at equilibrium. What is the entropy of the system? Provide the asymptotic expression for $n \gg 1$.","There are $C_{N}^{n}$ ways to remove $n$ atoms from $N$ lattice sites and $C_{N}^{n}$ ways to place them into $N$ vacancies. Therefore, the number of microscopic states is $\Omega=\left(C_{N}^{n}\right)^{2}$. Thus,

$$
S = k \ln \Omega = 2k \ln \frac{N!}{n!(N-n)!}
$$

When $n \gg 1$ and $(N-n) \gg 1$, using the approximation $\ln n! \approx n \ln n - n$, we get

$$
S = 2k [N \ln N - n \ln n - (N-n) \ln (N-n)]
$$",\boxed{S = 2k [N \ln N - n \ln n - (N-n) \ln (N-n)]},EQ,,False,EN,Math Derivation
2992,Mechanics and Thermodynamics,Statistical Mechanics,Distribution Function and Statistical Entropy,"Consider a system consisting of \(N(N \gg 1)\) distinguishable, non-free moving, non-interacting atoms. Each atom can occupy two non-degenerate energy levels: \(0\) and \(\varepsilon > 0\). \(E / N\) is the average energy per atom. The system is not necessarily in thermal equilibrium. What is the maximum possible value of \(E / N\)? If the system is in thermal equilibrium (within the range of positive temperatures), what is the maximum value that \(E / N\) can achieve?","When the system is not necessarily in thermal equilibrium, the maximum possible value of \(E / N\) is \(\varepsilon\); when the system is in thermal equilibrium at positive temperature, the maximum value of \(E / N\) is \(\varepsilon / 2\), corresponding to \(T \rightarrow \infty\).","\boxed{\varepsilon, \varepsilon / 2}","NV, NV","None, None",True,EN,Laws Application
2993,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A system consists of \(N\) fixed particles, each with a spin of \(\frac{1}{2}\) and a magnetic moment of \(\mu_{0}\). The system is in a uniform external field \(H\), where the spin interacts only with the magnetic field and is otherwise free. Find the heat capacity and entropy of the system.","\[
c_{H} = \left(\frac{\partial E}{\partial T}\right)_{H} = N k \frac{\left(\frac{\mu_{0} H}{k T}\right)^{2}}{\cosh^{2}\left(\frac{\mu_{0} H}{k T}\right)}
\]

The total partition function of the system is

\[
Z = \left(\mathrm{e}^{\mu_{0} H \beta} + \mathrm{e}^{-\mu_{0} H \beta}\right)^{N}, \quad \beta = \frac{1}{k T}
\]

Thus,

\[
S = k \left(\ln Z - \beta \frac{\partial}{\partial \beta} \ln Z\right) = N k \left[\ln \left(\mathrm{e}^{\mu_{0} H \beta} + \mathrm{e}^{-\mu_{0} H \beta}\right) - \mu_{0} H \beta \tanh \left(\mu_{0} H \beta\right)\right]
\]","\boxed{c_{H} = N k \frac{\left(\frac{\mu_{0} H}{k T}\right)^{2}}{\cosh^{2}\left(\frac{\mu_{0} H}{k T}\right)}, S = N k \left[\ln \left(\mathrm{e}^{\mu_{0} H \beta} + \mathrm{e}^{-\mu_{0} H \beta}\right) - \mu_{0} H \beta \tanh \left(\mu_{0} H \beta\right)\right]}","EQ, EQ","\text{None}, \text{None}",True,EN,Math Derivation
2994,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"In a three-dimensional universe, the ratio of the heat capacities at constant pressure and constant volume for a monoatomic ideal gas is $\gamma = 5/3$. Derive the form of this result for $\gamma$ in an $n$-dimensional universe.","According to the equipartition theorem, the molar heat capacity at constant volume is $c_{v} = \frac{l}{2} k$, where $l$ is the number of degrees of freedom for energy. For a monoatomic molecule in an $n$-dimensional space, $l = n$. Also, from $c_{p} = c_{v} + k$, we get

$$
\gamma = c_{p} / c_{v} = \frac{n+2}{n}
$$",\boxed{\frac{n+2}{n}},EX,,False,EN,Math Derivation
2995,Mechanics and Thermodynamics,Statistical Mechanics,Ensemble Theory,"A non-interacting spin system is subjected to an external magnetic field $H$. Using $S = k(\ln z + \beta E)$, derive the relationship of $S$ with $H$ and $T$ as $S = f(H / T)$. Here, $z$ is the partition function, $E$ is the energy, $\beta = 1 / kT$, and $f(x)$ is some function whose specific form does not need to be determined. The partition function of the system is $Z = \left(2 \cosh \frac{\mu H}{k T}\right)^{N}$.

Find the expression for the entropy $S$ of the system and explain why cooling occurs during isothermal magnetization and adiabatic demagnetization.","$$
S = k(\ln z + \beta E) = N k \left\{ \ln \left[2 \cosh \left(\frac{\mu H}{k T}\right)\right] - \frac{\mu H}{k T} \tanh \left(\frac{\mu H}{k T}\right) \right\} = f\left(\frac{H}{T}\right)
$$

When the system undergoes isothermal magnetization and reaches a certain state with entropy $S$, followed by adiabatic demagnetization (where the entropy remains constant due to the adiabatic process), from $S = f\left(\frac{H}{T}\right)$, $T$ must also decrease correspondingly to maintain the invariance of the function's argument $\left(\frac{H}{T}\right)$. Thus, the system's temperature decreases, resulting in a cooling effect.",\boxed{N k \left\{ \ln \left[2 \cosh \left(\frac{\mu H}{k T}\right)\right] - \frac{\mu H}{k T} \tanh \left(\frac{\mu H}{k T}\right) \right\}},EX,,False,EN,Math Derivation
2998,Mechanics and Thermodynamics,Statistical Mechanics,Maxwell-Boltzmann Statistics,"In a system following Maxwell-Boltzmann statistics, the equilibrium temperature is $T$. The particle number distribution for non-degenerate energy levels is given below. Determine the system temperature $T$.

$$
\begin{array}{ll}
\text{Energy} / \mathrm{eV} & \text{Particle number percentage} \\
30.1 \times 10^{-3} & 3.1 \% \\
21.5 \times 10^{-3} & 8.5 \% \\
12.9 \times 10^{-3} & 23 \% \\
4.3 \times 10^{-3} & 63 \%
\end{array}
$$","The particle number distribution is given by $\frac{N_{2}}{N_{1}} = \mathrm{e}^{\left(\varepsilon_{1} - \varepsilon_{2}\right) / kT}$, so

$$
T = \frac{\varepsilon_{1} - \varepsilon_{2}}{k} \cdot \frac{1}{\ln \left(N_{2} / N_{1}\right)}
$$

By choosing different $N_{1}$ and $N_{2}$, the corresponding $T$ values obtained are:  
99.2; 99.5; 99.0; 99.5; 100.2; 98.8 (K)

Taking the average, we get  

$$
T = 99.4 \, \text{K}
$$",\boxed{99.4},NV,\text{K},False,EN,Laws Application
