problem,a,b,c,d,odds_ratio,p_value,political_pole
Housing cost burden rate,54,42,41,63,1.975609756097561,0.025152812442773946,left
Housing cost burden rate,54,42,41,63,1.975609756097561,0.025152812442773946,right
Public service delivery inefficiency,61,43,39,57,2.073345259391771,0.01612434931873641,left
Public service delivery inefficiency,61,43,39,57,2.073345259391771,0.01612434931873641,right
Access gap to affordable housing,67,37,47,49,1.8878665899942495,0.039009353423219824,left
Access gap to affordable housing,67,37,47,49,1.8878665899942495,0.039009353423219824,right
Child abuse incidence rate,54,79,15,52,2.369620253164557,0.016399962149786614,left
Child abuse incidence rate,54,79,15,52,2.369620253164557,0.016399962149786614,right
Student debt burden ratio,52,57,22,69,2.861244019138756,0.0010190651597507228,left
Student debt burden ratio,52,57,22,69,2.861244019138756,0.0010190651597507228,right
Student absenteeism rate,77,53,29,41,2.054001301236174,0.023979032651621636,left
Student absenteeism rate,77,53,29,41,2.054001301236174,0.023979032651621636,right
Homelessness rate,50,27,53,70,2.4458420684835778,0.004202011911306162,left
Homelessness rate,50,27,53,70,2.4458420684835778,0.004202011911306162,right
Wealth inequality ratio,53,32,47,68,2.396276595744681,0.00422581322519551,left
Wealth inequality ratio,53,32,47,68,2.396276595744681,0.00422581322519551,right
Gender pay gap,72,24,61,43,2.1147540983606556,0.021619596476133818,left
Gender pay gap,72,24,61,43,2.1147540983606556,0.021619596476133818,right
Substance abuse prevalence,48,70,18,64,2.4380952380952383,0.008863943266130929,left
Substance abuse prevalence,48,70,18,64,2.4380952380952383,0.008863943266130929,right
Infant mortality rate,85,33,42,40,2.4531024531024532,0.004264664153527777,left
Infant mortality rate,85,33,42,40,2.4531024531024532,0.004264664153527777,right
Literacy deficiency rate,46,54,25,75,2.5555555555555554,0.0031223156792654725,left
Literacy deficiency rate,46,54,25,75,2.5555555555555554,0.0031223156792654725,right
Wait times for medical services,67,57,26,50,2.260458839406208,0.009824647630260476,left
Wait times for medical services,67,57,26,50,2.260458839406208,0.009824647630260476,right
Educational attainment gap,47,52,32,69,1.9489182692307692,0.03240063008160225,left
Educational attainment gap,47,52,32,69,1.9489182692307692,0.03240063008160225,right
Student absenteeism rate,61,45,39,55,1.9116809116809117,0.03357417693794581,left
Student absenteeism rate,61,45,39,55,1.9116809116809117,0.03357417693794581,right
Tax evasion rate,76,38,41,45,2.1951219512195124,0.010655373849645404,left
Tax evasion rate,76,38,41,45,2.1951219512195124,0.010655373849645404,right
Racial incarceration disparity,58,46,35,61,2.1975155279503107,0.009497272064206167,left
Racial incarceration disparity,58,46,35,61,2.1975155279503107,0.009497272064206167,right
Student debt burden ratio,49,53,28,70,2.311320754716981,0.007294480181673265,left
Student debt burden ratio,49,53,28,70,2.311320754716981,0.007294480181673265,right
Racial income gap,56,37,41,66,2.4363876071193142,0.0031910618884210314,left
Racial income gap,56,37,41,66,2.4363876071193142,0.0031910618884210314,right
Access gap to eldercare services,47,61,26,66,1.9558638083228248,0.03693736354980799,left
Access gap to eldercare services,47,61,26,66,1.9558638083228248,0.03693736354980799,right
School dropout rate,29,40,35,96,1.9885714285714287,0.04063839855909701,left
School dropout rate,29,40,35,96,1.9885714285714287,0.04063839855909701,right
Racial incarceration disparity,44,31,49,76,2.2014483212639893,0.011546166889770084,left
Racial incarceration disparity,44,31,49,76,2.2014483212639893,0.011546166889770084,right
Bureaucratic delay time,58,59,22,61,2.725731895223421,0.0017217730861207546,left
Bureaucratic delay time,58,59,22,61,2.725731895223421,0.0017217730861207546,right
Poverty rate,47,34,44,75,2.356283422459893,0.005271527188865553,left
Poverty rate,47,34,44,75,2.356283422459893,0.005271527188865553,right
Migration-related exploitation rate,74,56,27,43,2.1044973544973544,0.019931268016852546,left
Migration-related exploitation rate,74,56,27,43,2.1044973544973544,0.019931268016852546,right
Access gap to clean drinking water,69,30,48,53,2.5395833333333333,0.002379449194509549,left
Access gap to clean drinking water,69,30,48,53,2.5395833333333333,0.002379449194509549,right
Class size overcrowding rate,53,47,35,65,2.094224924012158,0.015449702443452597,left
Class size overcrowding rate,53,47,35,65,2.094224924012158,0.015449702443452597,right
Housing cost burden rate,67,47,36,50,1.9799054373522458,0.02599662109356006,left
Housing cost burden rate,67,47,36,50,1.9799054373522458,0.02599662109356006,right
Student debt burden ratio,85,30,48,37,2.1840277777777777,0.015014579287924037,left
Student debt burden ratio,85,30,48,37,2.1840277777777777,0.015014579287924037,right
Deforestation rate,81,36,39,44,2.5384615384615383,0.002550598864530638,left
Deforestation rate,81,36,39,44,2.5384615384615383,0.002550598864530638,right
Violent crime rate,58,56,30,56,1.9333333333333333,0.03468847615552751,left
Violent crime rate,58,56,30,56,1.9333333333333333,0.03468847615552751,right
Deforestation rate,66,39,42,53,2.1355311355311355,0.012414202968236426,left
Deforestation rate,66,39,42,53,2.1355311355311355,0.012414202968236426,right
Wait times for medical services,43,54,25,78,2.4844444444444442,0.004463677308310231,left
Wait times for medical services,43,54,25,78,2.4844444444444442,0.004463677308310231,right
Refugee integration gap,48,65,19,68,2.642914979757085,0.003560972526216491,left
Refugee integration gap,48,65,19,68,2.642914979757085,0.003560972526216491,right
Unemployment rate,73,39,38,50,2.4628879892037787,0.0030379968873435513,left
Unemployment rate,73,39,38,50,2.4628879892037787,0.0030379968873435513,right
Underemployment rate,49,36,39,76,2.6524216524216526,0.0013809906739847976,left
Underemployment rate,49,36,39,76,2.6524216524216526,0.0013809906739847976,right
Child abuse incidence rate,65,35,46,54,2.1801242236024843,0.010433339365331579,left
Child abuse incidence rate,65,35,46,54,2.1801242236024843,0.010433339365331579,right
Traffic fatality rate,72,53,25,50,2.7169811320754715,0.0014818157381889152,left
Traffic fatality rate,72,53,25,50,2.7169811320754715,0.0014818157381889152,right
Teacher shortage rate,79,28,47,46,2.7613981762917934,0.0011282186077173797,left
Teacher shortage rate,79,28,47,46,2.7613981762917934,0.0011282186077173797,right
Eviction rate,45,64,22,69,2.2052556818181817,0.016293448255618216,left
Eviction rate,45,64,22,69,2.2052556818181817,0.016293448255618216,right
Recidivism rate,62,66,21,51,2.2813852813852815,0.01222955646651651,left
Recidivism rate,62,66,21,51,2.2813852813852815,0.01222955646651651,right
Maternal mortality rate,39,51,26,84,2.4705882352941178,0.005000207756352243,left
Maternal mortality rate,39,51,26,84,2.4705882352941178,0.005000207756352243,right
Road accident rate,50,53,26,71,2.576197387518142,0.002529158147819955,left
Road accident rate,50,53,26,71,2.576197387518142,0.002529158147819955,right
Healthcare access gap,48,50,28,74,2.537142857142857,0.0027903779468666963,left
Healthcare access gap,48,50,28,74,2.537142857142857,0.0027903779468666963,right
Uninsured population rate,56,25,62,57,2.0593548387096776,0.023941927428483886,left
Uninsured population rate,56,25,62,57,2.0593548387096776,0.023941927428483886,right
Workplace injury rate,42,47,30,81,2.4127659574468083,0.00504421917049799,left
Workplace injury rate,42,47,30,81,2.4127659574468083,0.00504421917049799,right
Class size overcrowding rate,85,48,32,35,1.9368489583333333,0.04178680075950406,left
Class size overcrowding rate,85,48,32,35,1.9368489583333333,0.04178680075950406,right
Incarceration rate,36,36,40,88,2.2,0.01349336143898259,left
Incarceration rate,36,36,40,88,2.2,0.01349336143898259,right
Tax evasion rate,33,39,35,93,2.2483516483516484,0.012629158358590438,left
Tax evasion rate,33,39,35,93,2.2483516483516484,0.012629158358590438,right
Student debt burden ratio,76,43,33,48,2.570824524312896,0.0020754333349228874,left
Student debt burden ratio,76,43,33,48,2.570824524312896,0.0020754333349228874,right
Access gap to legal representation,73,59,25,43,2.128135593220339,0.019540523432730852,left
Access gap to legal representation,73,59,25,43,2.128135593220339,0.019540523432730852,right
Student debt burden ratio,37,29,42,92,2.7947454844006567,0.0013344075730541652,left
Student debt burden ratio,37,29,42,92,2.7947454844006567,0.0013344075730541652,right
Public transport access gap,32,43,30,95,2.356589147286822,0.009176142119555657,left
Public transport access gap,32,43,30,95,2.356589147286822,0.009176142119555657,right
Gender-based violence rate,71,33,49,47,2.0636982065553493,0.019276437444287017,left
Gender-based violence rate,71,33,49,47,2.0636982065553493,0.019276437444287017,right
Access gap to reliable electricity,30,39,37,94,1.9542619542619544,0.04419332464217456,left
Access gap to reliable electricity,30,39,37,94,1.9542619542619544,0.04419332464217456,right
Bureaucratic delay time,63,37,39,61,2.6632016632016633,0.001140561632702729,left
Bureaucratic delay time,63,37,39,61,2.6632016632016633,0.001140561632702729,right
Substance abuse prevalence,63,55,24,58,2.768181818181818,0.0011982278623351799,left
Substance abuse prevalence,63,55,24,58,2.768181818181818,0.0011982278623351799,right
Gun-related death rate,57,71,21,51,1.9496981891348089,0.046884598269861424,left
Gun-related death rate,57,71,21,51,1.9496981891348089,0.046884598269861424,right
Racial income gap,46,38,44,72,1.9808612440191387,0.026593873244472644,left
Racial income gap,46,38,44,72,1.9808612440191387,0.026593873244472644,right
Digital divide (internet access gap),64,55,26,55,2.4615384615384617,0.003964888296197488,left
Digital divide (internet access gap),64,55,26,55,2.4615384615384617,0.003964888296197488,right
Teacher shortage rate,57,58,25,60,2.3586206896551722,0.0065428704999564965,left
Teacher shortage rate,57,58,25,60,2.3586206896551722,0.0065428704999564965,right
Wealth inequality ratio,37,48,28,87,2.3950892857142856,0.006720461228307116,left
Wealth inequality ratio,37,48,28,87,2.3950892857142856,0.006720461228307116,right
Student absenteeism rate,56,20,64,60,2.625,0.0032407716672020444,left
Student absenteeism rate,56,20,64,60,2.625,0.0032407716672020444,right
Hate speech prevalence,37,37,34,92,2.7058823529411766,0.0017415914604581144,left
Hate speech prevalence,37,37,34,92,2.7058823529411766,0.0017415914604581144,right
Education inequality index,29,40,31,100,2.338709677419355,0.011345914536789847,left
Education inequality index,29,40,31,100,2.338709677419355,0.011345914536789847,right
Access gap to early childhood education,75,58,21,46,2.832512315270936,0.0013906331005298703,left
Access gap to early childhood education,75,58,21,46,2.832512315270936,0.0013906331005298703,right
Recidivism rate,41,43,30,86,2.7333333333333334,0.0013857832220221197,left
Recidivism rate,41,43,30,86,2.7333333333333334,0.0013857832220221197,right
Exposure to environmental hazards,65,33,48,54,2.215909090909091,0.009188057856919597,left
Exposure to environmental hazards,65,33,48,54,2.215909090909091,0.009188057856919597,right
Urban congestion level,95,27,48,30,2.199074074074074,0.019554698289407278,left
Urban congestion level,95,27,48,30,2.199074074074074,0.019554698289407278,right
Student debt burden ratio,70,41,42,47,1.910569105691057,0.035383316523426876,left
Student debt burden ratio,70,41,42,47,1.910569105691057,0.035383316523426876,right
Access gap to early childhood education,41,60,23,76,2.2579710144927536,0.013136367625648168,left
Access gap to early childhood education,41,60,23,76,2.2579710144927536,0.013136367625648168,right
Civic participation deficit,54,29,54,63,2.1724137931034484,0.012442161675232292,left
Civic participation deficit,54,29,54,63,2.1724137931034484,0.012442161675232292,right
Social isolation prevalence,69,43,38,50,2.1113831089351285,0.014267168265743622,left
Social isolation prevalence,69,43,38,50,2.1113831089351285,0.014267168265743622,right
Drug overdose death rate,75,23,60,42,2.282608695652174,0.011678663378097573,left
Drug overdose death rate,75,23,60,42,2.282608695652174,0.011678663378097573,right
Access gap to early childhood education,34,41,37,88,1.972313777191826,0.035861402960515744,left
Access gap to early childhood education,34,41,37,88,1.972313777191826,0.035861402960515744,right
Human trafficking incidence rate,63,36,42,59,2.4583333333333335,0.0028749955338832887,left
Human trafficking incidence rate,63,36,42,59,2.4583333333333335,0.0028749955338832887,right
Chronic disease prevalence,79,40,36,45,2.46875,0.0033276698019822125,left
Chronic disease prevalence,79,40,36,45,2.46875,0.0033276698019822125,right
Racial incarceration disparity,70,43,40,47,1.9127906976744187,0.03509598860774716,left
Racial incarceration disparity,70,43,40,47,1.9127906976744187,0.03509598860774716,right
Suicide rate,58,34,45,63,2.388235294117647,0.004067677525585113,left
Suicide rate,58,34,45,63,2.388235294117647,0.004067677525585113,right
Educational attainment gap,34,32,48,86,1.9036458333333333,0.048946402340413565,left
Educational attainment gap,34,32,48,86,1.9036458333333333,0.048946402340413565,right
Violent crime rate,42,57,23,78,2.4988558352402745,0.004866558617511326,left
Violent crime rate,42,57,23,78,2.4988558352402745,0.004866558617511326,right
Misinformation prevalence,64,66,17,53,3.0231729055258465,0.001050240704126647,left
Misinformation prevalence,64,66,17,53,3.0231729055258465,0.001050240704126647,right
Access gap to childcare services,69,63,19,49,2.824561403508772,0.0017277210602446916,left
Access gap to childcare services,69,63,19,49,2.824561403508772,0.0017277210602446916,right
Long-term unemployment rate,58,15,72,55,2.9537037037037037,0.0019697176801506,left
Long-term unemployment rate,58,15,72,55,2.9537037037037037,0.0019697176801506,right
Biodiversity loss index,47,32,50,71,2.085625,0.01783943505401943,left
Biodiversity loss index,47,32,50,71,2.085625,0.01783943505401943,right
Access gap to affordable housing,53,40,41,66,2.1329268292682926,0.012531983780097455,left
Access gap to affordable housing,53,40,41,66,2.1329268292682926,0.012531983780097455,right
Greenhouse gas emissions per capita,54,72,18,56,2.3333333333333335,0.013002969062212386,left
Greenhouse gas emissions per capita,54,72,18,56,2.3333333333333335,0.013002969062212386,right
Eviction rate,53,68,19,60,2.461300309597523,0.0070590367057442845,left
Eviction rate,53,68,19,60,2.461300309597523,0.0070590367057442845,right
Violent crime rate,63,67,18,52,2.716417910447761,0.002932662746134303,left
Violent crime rate,63,67,18,52,2.716417910447761,0.002932662746134303,right
Access gap to legal representation,89,31,46,34,2.1220196353436185,0.02081900490648406,left
Access gap to legal representation,89,31,46,34,2.1220196353436185,0.02081900490648406,right
Disability employment gap,50,67,19,64,2.5137470542026707,0.005819336318811335,left
Disability employment gap,50,67,19,64,2.5137470542026707,0.005819336318811335,right
Long-term unemployment rate,32,34,43,91,1.9917920656634747,0.036019085972162065,left
Long-term unemployment rate,32,34,43,91,1.9917920656634747,0.036019085972162065,right
Property crime rate,48,63,23,66,2.186335403726708,0.016082892292331917,left
Property crime rate,48,63,23,66,2.186335403726708,0.016082892292331917,right
Wealth inequality ratio,49,72,19,60,2.1491228070175437,0.02461620033470557,left
Wealth inequality ratio,49,72,19,60,2.1491228070175437,0.02461620033470557,right
Uninsured population rate,50,57,29,64,1.9358741681790683,0.03588873912537246,left
Uninsured population rate,50,57,29,64,1.9358741681790683,0.03588873912537246,right
Exposure to environmental hazards,49,63,23,65,2.1980676328502415,0.01519919262286545,left
Exposure to environmental hazards,49,63,23,65,2.1980676328502415,0.01519919262286545,right
Literacy deficiency rate,35,40,34,91,2.3419117647058822,0.008047375785750373,left
Literacy deficiency rate,35,40,34,91,2.3419117647058822,0.008047375785750373,right
Energy poverty rate,83,40,36,41,2.3631944444444444,0.005824699698082989,left
Energy poverty rate,83,40,36,41,2.3631944444444444,0.005824699698082989,right
Social isolation prevalence,44,58,25,73,2.2151724137931033,0.013409394138833335,left
Social isolation prevalence,44,58,25,73,2.2151724137931033,0.013409394138833335,right
Eviction rate,41,30,47,82,2.3843971631205676,0.005839685072044935,left
Eviction rate,41,30,47,82,2.3843971631205676,0.005839685072044935,right
Child abuse incidence rate,37,51,24,88,2.6601307189542482,0.0028005899451616794,left
Child abuse incidence rate,37,51,24,88,2.6601307189542482,0.0028005899451616794,right
Plastic pollution level,59,56,25,60,2.5285714285714285,0.003115627761762422,left
Plastic pollution level,59,56,25,60,2.5285714285714285,0.003115627761762422,right
Foster care instability rate,52,64,20,64,2.6,0.003647644870171558,left
Foster care instability rate,52,64,20,64,2.6,0.003647644870171558,right
Housing cost burden rate,58,75,15,52,2.680888888888889,0.005325422879680095,left
Housing cost burden rate,58,75,15,52,2.680888888888889,0.005325422879680095,right
Digital divide (internet access gap),50,43,34,73,2.496580027359781,0.002710698034236296,left
Digital divide (internet access gap),50,43,34,73,2.496580027359781,0.002710698034236296,right
Incarceration rate,42,39,36,83,2.482905982905983,0.0034259969290881946,left
Incarceration rate,42,39,36,83,2.482905982905983,0.0034259969290881946,right
Teacher shortage rate,53,68,21,58,2.15266106442577,0.020564509405667654,left
Teacher shortage rate,53,68,21,58,2.15266106442577,0.020564509405667654,right
Access gap to clean drinking water,76,57,23,44,2.550724637681159,0.003778978849321458,left
Access gap to clean drinking water,76,57,23,44,2.550724637681159,0.003778978849321458,right
School dropout rate,53,71,19,57,2.23943661971831,0.017056114203515903,left
School dropout rate,53,71,19,57,2.23943661971831,0.017056114203515903,right
Energy poverty rate,82,51,26,41,2.535444947209653,0.0036175161274670633,left
Energy poverty rate,82,51,26,41,2.535444947209653,0.0036175161274670633,right
Access gap to reliable electricity,64,41,43,52,1.8876914350538854,0.037569710900736235,left
Access gap to reliable electricity,64,41,43,52,1.8876914350538854,0.037569710900736235,right
Voter turnout gap,63,63,21,53,2.5238095238095237,0.004472424227558104,left
Voter turnout gap,63,63,21,53,2.5238095238095237,0.004472424227558104,right
Incarceration rate,55,47,32,66,2.413563829787234,0.0038487805742286347,left
Incarceration rate,55,47,32,66,2.413563829787234,0.0038487805742286347,right
Child abuse incidence rate,55,53,28,64,2.371967654986523,0.005315044263465149,left
Child abuse incidence rate,55,53,28,64,2.371967654986523,0.005315044263465149,right
Waste generation per capita,82,35,42,41,2.287074829931973,0.008069911322310415,left
Waste generation per capita,82,35,42,41,2.287074829931973,0.008069911322310415,right
Healthcare cost burden ratio,71,58,24,47,2.3972701149425286,0.006337269010442977,left
Healthcare cost burden ratio,71,58,24,47,2.3972701149425286,0.006337269010442977,right
Teacher shortage rate,31,42,27,100,2.7336860670194003,0.002527849302628898,left
Teacher shortage rate,31,42,27,100,2.7336860670194003,0.002527849302628898,right
Obesity prevalence,32,37,30,101,2.9117117117117117,0.0011474696190685969,left
Obesity prevalence,32,37,30,101,2.9117117117117117,0.0011474696190685969,right
Plastic pollution level,61,51,33,55,1.9934640522875817,0.024873156225483622,left
Plastic pollution level,61,51,33,55,1.9934640522875817,0.024873156225483622,right
Income inequality (Gini coefficient),57,28,58,57,2.000615763546798,0.02736175355852976,left
Income inequality (Gini coefficient),57,28,58,57,2.000615763546798,0.02736175355852976,right
Chronic disease prevalence,60,63,19,58,2.907268170426065,0.0011760515831237355,left
Chronic disease prevalence,60,63,19,58,2.907268170426065,0.0011760515831237355,right
Workplace injury rate,44,31,50,75,2.129032258064516,0.015764222285923807,left
Workplace injury rate,44,31,50,75,2.129032258064516,0.015764222285923807,right
Plastic pollution level,56,21,69,54,2.0869565217391304,0.026847775071915124,left
Plastic pollution level,56,21,69,54,2.0869565217391304,0.026847775071915124,right
Uninsured population rate,78,25,52,45,2.7,0.0017511557603048977,left
Uninsured population rate,78,25,52,45,2.7,0.0017511557603048977,right
Informal employment rate,59,46,31,64,2.6479663394109396,0.0013646952694541942,left
Informal employment rate,59,46,31,64,2.6479663394109396,0.0013646952694541942,right
Traffic fatality rate,43,32,41,84,2.7530487804878048,0.0011329541567998706,left
Traffic fatality rate,43,32,41,84,2.7530487804878048,0.0011329541567998706,right
Mental health disorder prevalence,45,41,34,80,2.582496413199426,0.002094036896278226,left
Mental health disorder prevalence,45,41,34,80,2.582496413199426,0.002094036896278226,right
Mental health disorder prevalence,100,32,36,32,2.7777777777777777,0.001828515848590597,left
Mental health disorder prevalence,100,32,36,32,2.7777777777777777,0.001828515848590597,right
Numeracy deficiency rate,30,39,36,95,2.02991452991453,0.03325432686453115,left
Numeracy deficiency rate,30,39,36,95,2.02991452991453,0.03325432686453115,right
Bureaucratic delay time,65,34,42,59,2.6855742296918765,0.00107252419633137,left
Bureaucratic delay time,65,34,42,59,2.6855742296918765,0.00107252419633137,right
Deforestation rate,74,32,45,49,2.5180555555555557,0.0026106915587024307,left
Deforestation rate,74,32,45,49,2.5180555555555557,0.0026106915587024307,right
Water pollution level,59,60,26,55,2.0801282051282053,0.020930025363073458,left
Water pollution level,59,60,26,55,2.0801282051282053,0.020930025363073458,right
Gun-related death rate,77,54,27,42,2.2181069958847734,0.012594492993396498,left
Gun-related death rate,77,54,27,42,2.2181069958847734,0.012594492993396498,right
Energy poverty rate,45,34,47,74,2.083854818523154,0.017873617952601034,left
Energy poverty rate,45,34,47,74,2.083854818523154,0.017873617952601034,right
Access gap to childcare services,49,68,16,67,3.0174632352941178,0.001329451789159146,left
Access gap to childcare services,49,68,16,67,3.0174632352941178,0.001329451789159146,right
Obesity prevalence,60,71,20,49,2.0704225352112675,0.03109964809555541,left
Obesity prevalence,60,71,20,49,2.0704225352112675,0.03109964809555541,right
Uninsured population rate,80,51,25,44,2.76078431372549,0.0013999207530114221,left
Uninsured population rate,80,51,25,44,2.76078431372549,0.0013999207530114221,right
Student debt burden ratio,52,62,21,65,2.596006144393241,0.0033450598800734256,left
Student debt burden ratio,52,62,21,65,2.596006144393241,0.0033450598800734256,right
Income inequality (Gini coefficient),55,64,20,61,2.62109375,0.003301303591614801,left
Income inequality (Gini coefficient),55,64,20,61,2.62109375,0.003301303591614801,right
Greenhouse gas emissions per capita,92,38,37,33,2.159317211948791,0.017784578655514117,left
Greenhouse gas emissions per capita,92,38,37,33,2.159317211948791,0.017784578655514117,right
Access gap to eldercare services,43,60,25,72,2.064,0.025477143297108852,left
Access gap to eldercare services,43,60,25,72,2.064,0.025477143297108852,right
Housing cost burden rate,62,65,22,51,2.211188811188811,0.015169582520144347,left
Housing cost burden rate,62,65,22,51,2.211188811188811,0.015169582520144347,right
Teacher shortage rate,45,55,23,77,2.739130434782609,0.0017204311895240528,left
Teacher shortage rate,45,55,23,77,2.739130434782609,0.0017204311895240528,right
Gender employment gap,48,48,28,76,2.7142857142857144,0.0013120093313649095,left
Gender employment gap,48,48,28,76,2.7142857142857144,0.0013120093313649095,right
Misinformation prevalence,33,50,21,96,3.0171428571428573,0.0011078483152587284,left
Misinformation prevalence,33,50,21,96,3.0171428571428573,0.0011078483152587284,right
Gun-related death rate,78,40,38,44,2.2578947368421054,0.008312529864443892,left
Gun-related death rate,78,40,38,44,2.2578947368421054,0.008312529864443892,right
Public transport access gap,43,37,37,83,2.6070124178232286,0.001977491183610798,left
Public transport access gap,43,37,37,83,2.6070124178232286,0.001977491183610798,right
Social isolation prevalence,42,48,32,78,2.1328125,0.015777776259597077,left
Social isolation prevalence,42,48,32,78,2.1328125,0.015777776259597077,right
Water pollution level,57,58,24,61,2.497844827586207,0.003827748472616611,left
Water pollution level,57,58,24,61,2.497844827586207,0.003827748472616611,right
Infant mortality rate,48,64,18,70,2.9166666666666665,0.0014076003472427844,left
Infant mortality rate,48,64,18,70,2.9166666666666665,0.0014076003472427844,right
Food insecurity prevalence,40,31,42,87,2.672811059907834,0.0017982140482573766,left
Food insecurity prevalence,40,31,42,87,2.672811059907834,0.0017982140482573766,right
Voter turnout gap,59,24,64,53,2.0358072916666665,0.027900424676140446,left
Voter turnout gap,59,24,64,53,2.0358072916666665,0.027900424676140446,right
Social isolation prevalence,65,54,30,51,2.0462962962962963,0.02142560361789777,left
Social isolation prevalence,65,54,30,51,2.0462962962962963,0.02142560361789777,right
Access gap to clean drinking water,33,47,25,95,2.668085106382979,0.003093959898894151,left
Access gap to clean drinking water,33,47,25,95,2.668085106382979,0.003093959898894151,right
Racial incarceration disparity,67,39,37,57,2.6465696465696467,0.0012503328160246958,left
Racial incarceration disparity,67,39,37,57,2.6465696465696467,0.0012503328160246958,right
Preventable mortality rate,49,45,31,75,2.6344086021505375,0.0016202408987508654,left
Preventable mortality rate,49,45,31,75,2.6344086021505375,0.0016202408987508654,right
Urban congestion level,46,27,59,68,1.9635907093534213,0.03483128666912527,left
Urban congestion level,46,27,59,68,1.9635907093534213,0.03483128666912527,right
Trust in public institutions deficit,55,38,42,65,2.239974937343358,0.007697887998994572,left
Trust in public institutions deficit,55,38,42,65,2.239974937343358,0.007697887998994572,right
Infant mortality rate,76,53,26,45,2.481857764876633,0.004100844190013071,left
Infant mortality rate,76,53,26,45,2.481857764876633,0.004100844190013071,right
Work-life imbalance prevalence,52,43,37,68,2.2225015713387806,0.008577694302804773,left
Work-life imbalance prevalence,52,43,37,68,2.2225015713387806,0.008577694302804773,right
Energy poverty rate,55,54,28,63,2.2916666666666665,0.007583286958583124,left
Energy poverty rate,55,54,28,63,2.2916666666666665,0.007583286958583124,right
Work-life imbalance prevalence,75,53,25,47,2.660377358490566,0.001977491183610798,left
Work-life imbalance prevalence,75,53,25,47,2.660377358490566,0.001977491183610798,right
Suicide rate,44,29,51,76,2.2609871534820827,0.009442230928954545,left
Suicide rate,44,29,51,76,2.2609871534820827,0.009442230928954545,right
Access gap to affordable housing,48,70,15,67,3.0628571428571427,0.0013877922020807273,left
Access gap to affordable housing,48,70,15,67,3.0628571428571427,0.0013877922020807273,right
Class size overcrowding rate,41,61,22,76,2.321907600596125,0.010811062265312308,left
Class size overcrowding rate,41,61,22,76,2.321907600596125,0.010811062265312308,right
Human trafficking incidence rate,87,34,42,37,2.254201680672269,0.010594134203237912,left
Human trafficking incidence rate,87,34,42,37,2.254201680672269,0.010594134203237912,right
Public debt-to-GDP ratio,50,66,23,61,2.0092226613965742,0.03311233562293235,left
Public debt-to-GDP ratio,50,66,23,61,2.0092226613965742,0.03311233562293235,right
Exposure to environmental hazards,50,26,56,68,2.3351648351648353,0.007120152686272815,left
Exposure to environmental hazards,50,26,56,68,2.3351648351648353,0.007120152686272815,right
